Twitter-HyDrug
Epoch: 85, Train Loss: 17.7413, Valid Loss: 1.1570, Test  Loss: 1.1574, Train Acc: 94.20%, Valid Acc: 61.22%, Test  Acc: 65.39%, Train F1: 90.37%, Valid F1: 52.61%, Test  F1: 53.01%, 
Epoch: 86, Train Loss: 17.7418, Valid Loss: 1.2161, Test  Loss: 1.2084, Train Acc: 92.83%, Valid Acc: 63.27%, Test  Acc: 66.33%, Train F1: 88.42%, Valid F1: 51.73%, Test  F1: 52.01%, 
Epoch: 87, Train Loss: 17.7079, Valid Loss: 1.2870, Test  Loss: 1.2680, Train Acc: 93.86%, Valid Acc: 64.29%, Test  Acc: 66.62%, Train F1: 90.07%, Valid F1: 53.58%, Test  F1: 52.70%, 
Epoch: 88, Train Loss: 17.7085, Valid Loss: 1.2938, Test  Loss: 1.2993, Train Acc: 94.54%, Valid Acc: 64.29%, Test  Acc: 64.62%, Train F1: 92.01%, Valid F1: 56.47%, Test  F1: 53.46%, 
Epoch: 89, Train Loss: 17.6877, Valid Loss: 1.2731, Test  Loss: 1.3066, Train Acc: 94.54%, Valid Acc: 60.88%, Test  Acc: 62.45%, Train F1: 92.00%, Valid F1: 56.01%, Test  F1: 54.50%, 
Epoch: 90, Train Loss: 17.7553, Valid Loss: 1.2483, Test  Loss: 1.2934, Train Acc: 94.54%, Valid Acc: 62.93%, Test  Acc: 63.43%, Train F1: 91.65%, Valid F1: 58.06%, Test  F1: 54.17%, 
Epoch: 91, Train Loss: 17.6967, Valid Loss: 1.5977, Test  Loss: 1.4551, Train Acc: 93.52%, Valid Acc: 62.93%, Test  Acc: 67.65%, Train F1: 90.15%, Valid F1: 47.88%, Test  F1: 49.54%, 
Epoch: 92, Train Loss: 17.7954, Valid Loss: 1.3160, Test  Loss: 1.3008, Train Acc: 94.88%, Valid Acc: 63.27%, Test  Acc: 66.07%, Train F1: 92.20%, Valid F1: 53.58%, Test  F1: 53.08%, 
Epoch: 93, Train Loss: 17.7170, Valid Loss: 1.3048, Test  Loss: 1.3208, Train Acc: 94.88%, Valid Acc: 61.56%, Test  Acc: 61.69%, Train F1: 92.29%, Valid F1: 56.59%, Test  F1: 53.33%, 
Epoch: 94, Train Loss: 17.7523, Valid Loss: 1.2693, Test  Loss: 1.2480, Train Acc: 95.90%, Valid Acc: 62.24%, Test  Acc: 63.13%, Train F1: 94.01%, Valid F1: 56.25%, Test  F1: 53.59%, 
Epoch: 95, Train Loss: 17.7070, Valid Loss: 1.2740, Test  Loss: 1.2343, Train Acc: 94.88%, Valid Acc: 61.90%, Test  Acc: 64.79%, Train F1: 92.44%, Valid F1: 53.77%, Test  F1: 52.84%, 
Epoch: 96, Train Loss: 17.6925, Valid Loss: 1.2596, Test  Loss: 1.2251, Train Acc: 94.20%, Valid Acc: 63.27%, Test  Acc: 66.16%, Train F1: 90.84%, Valid F1: 53.65%, Test  F1: 52.82%, 
Epoch: 97, Train Loss: 17.6567, Valid Loss: 1.1936, Test  Loss: 1.1970, Train Acc: 94.54%, Valid Acc: 63.27%, Test  Acc: 65.73%, Train F1: 91.04%, Valid F1: 54.87%, Test  F1: 53.02%, 
Epoch: 98, Train Loss: 17.6222, Valid Loss: 1.1837, Test  Loss: 1.1853, Train Acc: 95.22%, Valid Acc: 62.93%, Test  Acc: 64.75%, Train F1: 92.56%, Valid F1: 56.05%, Test  F1: 53.24%, 
Epoch: 99, Train Loss: 17.6759, Valid Loss: 1.2414, Test  Loss: 1.2150, Train Acc: 95.90%, Valid Acc: 62.93%, Test  Acc: 65.05%, Train F1: 94.51%, Valid F1: 55.62%, Test  F1: 53.75%, 
